2 &    0.000 & 0 \\ 
3 &    0.000 & 1 \\ 
4 &    0.001 & 1 \\ 
5 &    0.001 & 1 \\ 
6 &    0.004 & 1 \\ 
7 &    0.007 & 1 \\ 
8 &    0.004 & 0 \\ 
9 &    0.007 & 10 \\ 
10 &    0.008 & 21 \\ 
11 &    0.009 & 21 \\ 
12 &    0.036 & 33 \\ 
13 &    0.026 & 33 \\ 
14 &    0.036 & 74 \\ 
15 &    0.017 & 4 \\ 
16 &    0.248 & 865 \\ 
17 &    0.029 & 22 \\ 
18 &   11.663 & 48404 \\ 
19 &    0.405 & 1283 \\ 
20 &    0.795 & 2339 \\ 
21 &    9.851 & 31016 \\ 
22 &   24.130 & 102492 \\ 
23 &   55.905 & 155931 \\ 
