2 &    0.000 & 0 \\ 
3 &    0.000 & 1 \\ 
4 &    0.001 & 1 \\ 
5 &    0.001 & 1 \\ 
6 &    0.001 & 1 \\ 
7 &    0.002 & 1 \\ 
8 &    0.002 & 0 \\ 
9 &    0.004 & 10 \\ 
10 &    0.006 & 21 \\ 
11 &    0.008 & 21 \\ 
12 &    0.013 & 33 \\ 
13 &    0.014 & 33 \\ 
14 &    0.039 & 74 \\ 
15 &    0.016 & 5 \\ 
16 &    0.160 & 866 \\ 
17 &    0.045 & 22 \\ 
18 &   10.726 & 48404 \\ 
19 &    0.359 & 1283 \\ 
20 &    0.669 & 2339 \\ 
21 &    9.869 & 31368 \\ 
22 &   34.172 & 128986 \\ 
23 &   53.317 & 166181 \\ 
